ref,instru,mjd,freq,flux,flux_min,flux_max,uerr,lerr,nepoch,obs
Falcke et al. 1998,IRAM,50383,235.6,2.8,,,0.9,0.9,,TRUE
Falcke et al. 1998,IRAM,50383,152.3,2.9,,,0.25,0.25,,TRUE
Falcke et al. 1998,IRAM+Nobeyama,50383,151,2.9,,,0.21,0.21,,TRUE
Falcke et al. 1998,Nobeyama,50383,150,3.1,,,0.4,0.4,,TRUE
Falcke et al. 1998,IRAM,50383,106.3,2.4,,,0.35,0.35,,TRUE
Falcke et al. 1998,IRAMa+Nobeyama+BIMA,50383,95,2.1,,,0.23,0.23,,TRUE
Falcke et al. 1998,Nobeyama,50383,95,2,,,0.4,0.4,,TRUE
Falcke et al. 1998,BIMA,50383,93,1.9,,,0.5,0.5,,TRUE
Falcke et al. 1998,VLA,50383,43.3,1.4,,,0.14,0.14,,TRUE
Falcke et al. 1998,VLA,50383,22.5,1.1,,,0.05,0.05,,TRUE
Falcke et al. 1998,VLA,50383,14.9,1.03,,,0.03,0.03,,TRUE
Falcke et al. 1998,VLA,50383,8.45,0.72,,,0.01,0.01,,TRUE
Falcke et al. 1998,VLA,50383,4.85,0.64,,,0.01,0.01,,TRUE
Falcke et al. 1998,VLA,50383,1.64,0.55,,,0.03,0.03,,TRUE
Falcke et al. 1998,VLA,50383,1.44,0.53,,,0.02,0.02,,TRUE
Falcke et al. 1998,VLA,50383,1.36,0.53,,,0.02,0.02,,TRUE
Zylka 1995,,,230.609,3.3,,,0.3,0.3,,TRUE
Zylka 1995,,,374.74,3.5,,,0.5,0.5,,TRUE
Zylka 1995,,,499.653,4,,,1.2,1.2,,TRUE
Zylka 1995,,,666.204,3,,,1,1,,TRUE
Brinkerink et al. 2015,VLBA,6.602162162,100,2.287864373,,,,,,TRUE
Brinkerink et al. 2015,VLBA,6.922162162,100,2.315088616,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.237837838,100,2.362010483,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.895135135,100,2.402819984,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.210810811,100,2.375499427,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.500540541,100,2.249697952,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.79027027,100,2.204199509,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.08,100,2.189004095,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.711351351,100,2.29345389,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.00108108,100,2.322197871,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.28648649,100,2.160033415,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.57621622,100,2.106959214,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.85297297,100,2.203886978,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.031270801,48,2.008797745,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.137432905,48,1.810035548,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.231840134,48,1.896248354,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.334631563,48,2.00859947,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.434533841,48,1.987619142,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.53132037,48,1.85422255,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.632327324,48,2.131280715,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.728235777,48,2.078930448,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.827259981,48,2.138996445,,,,,,TRUE
Brinkerink et al. 2015,VLBA,7.978685437,48,2.162426886,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.084366016,48,2.008109448,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.179311419,48,2.044648699,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.278193998,48,2.117786684,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.377643077,48,2.138636718,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.477771955,48,2.096741209,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.581894659,48,2.086215638,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.677434888,48,2.06785254,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.778243567,48,1.963211489,,,,,,TRUE
Brinkerink et al. 2015,VLBA,8.87704117,48,2.044192667,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.024897676,48,1.997037205,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.12936028,48,1.955138863,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.229404184,48,1.921086547,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.323273237,48,2.056972907,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.426064666,48,2.169324024,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.527723095,48,1.986251044,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.627285474,48,1.996643487,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.729312127,48,1.779583339,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.827656531,48,1.902394879,,,,,,TRUE
Brinkerink et al. 2015,VLBA,9.92653911,48,1.975532864,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.07929584,48,1.876086618,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.17443952,48,1.894325086,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.27836395,48,1.902100299,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.37704825,48,1.993539067,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.47284341,48,1.951646391,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.57693778,48,1.943735218,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.66944724,48,2.205112663,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.77682732,48,1.893931369,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.87721112,48,1.828506281,,,,,,TRUE
Brinkerink et al. 2015,VLBA,10.9711085,48,1.961778244,,,,,,TRUE
